	BELGIUM	sys_par_name	sys_reserved	sys_first_sys	BE_2005	BE_2006	BE_2007	BE_2008	BE_2009	BE_2010	sys_end_sys
		comp2_perElig	97		$UI_ReplRateDep6M*yempv	$UI_ReplRateDep6M*yempv	$UI_ReplRateDep6M*yempv	$UI_ReplRateDep6M*yempv	$UI_ReplRateDep6M*yempv	$UI_ReplRateDep6M*yempv	
		comp2_lowlim_amount	98		$UI_LowLimDep6M	$UI_LowLimDep6M	$UI_LowLimDep6M	$UI_LowLimDep6M	$UI_LowLimDep6M	$UI_LowLimDep6M	
		comp2_uplim_amount	99		$UI_UpLimDep6M	$UI_UpLimDep6M	$UI_UpLimDep6M	$UI_UpLimDep6M	$UI_UpLimDep6M	$UI_UpLimDep6M	
		comp3_cond	100		{sin05_s=2} & !{IsDisabled} & ({lunmy>=7} & {lunmy<=12})	{sin05_s=2} & !{IsDisabled} & ({lunmy>=7} & {lunmy<=12})	{sin05_s=2} & !{IsDisabled} & ({lunmy>=7} & {lunmy<=12})	{sin05_s=2} & !{IsDisabled} & ({lunmy>=7} & {lunmy<=12})	{sin05_s=2} & !{IsDisabled} & ({lunmy>=7} & {lunmy<=12})	{sin05_s=2} & !{IsDisabled} & ({lunmy>=7} & {lunmy<=12})	
		comp3_perElig	101		0	0	0	0	$UI_ReplRateDep7to12M*yempv	$UI_ReplRateDep7to12M*yempv	
		comp3_lowlim_amount	102		0	0	0	0	$UI_LowLimDep7to12M	$UI_LowLimDep7to12M	
		comp3_uplim_amount	103		0	0	0	0	$UI_UpLimDep7to12M	$UI_UpLimDep7to12M	
		comp4_cond	104		{sin05_s=2} & !{IsDisabled} & {lunmy>12}	{sin05_s=2} & !{IsDisabled} & {lunmy>12}	{sin05_s=2} & !{IsDisabled} & {lunmy>12}	{sin05_s=2} & !{IsDisabled} & {lunmy>12}	{sin05_s=2} & !{IsDisabled} & {lunmy>12}	{sin05_s=2} & !{IsDisabled} & {lunmy>12}	
		comp4_perElig	105		0	0	0	0	$UI_ReplRateDep12M*yempv	$UI_ReplRateDep12M*yempv	
		comp4_lowlim_amount	106		0	0	0	0	$UI_LowLimDep12M	$UI_LowLimDep12M	
		comp4_uplim_amount	107		0	0	0	0	$UI_UpLimDep12M	$UI_UpLimDep12M	
		comp5_cond	108		{sin05_s=1} & {IsDisabled}	{sin05_s=1} & {IsDisabled}	{sin05_s=1} & {IsDisabled}	{sin05_s=1} & {IsDisabled}	{sin05_s=1} & {IsDisabled}	{sin05_s=1} & {IsDisabled}	
		comp5_perElig	109		$UI_ReplRateSingleDisab*yempv	$UI_ReplRateSingleDisab*yempv	$UI_ReplRateSingleDisab*yempv	$UI_ReplRateSingleDisab*yempv	$UI_ReplRateSingleDisab*yempv	$UI_ReplRateSingleDisab*yempv	
		comp6_cond	110		{sin05_s=1} & !{IsDisabled} & {lunmy<=12}	{sin05_s=1} & !{IsDisabled} & {lunmy<=12}	{sin05_s=1} & !{IsDisabled} & {lunmy<=12}	{sin05_s=1} & !{IsDisabled} & {lunmy<=12}	{sin05_s=1} & !{IsDisabled} & {lunmy<=6}	{sin05_s=1} & !{IsDisabled} & {lunmy<=6}	
		comp6_perElig	111		$UI_ReplRateSingle6M*yempv	$UI_ReplRateSingle6M*yempv	$UI_ReplRateSingle6M*yempv	$UI_ReplRateSingle6M*yempv	$UI_ReplRateSingle6M*yempv	$UI_ReplRateSingle6M*yempv	
		comp6_lowlim_amount	112		$UI_LowLimSingle6M	$UI_LowLimSingle6M	$UI_LowLimSingle6M	$UI_LowLimSingle6M	$UI_LowLimSingle6M	$UI_LowLimSingle6M	
		comp6_uplim_amount	113		$UI_UpLimSingle6M	$UI_UpLimSingle6M	$UI_UpLimSingle6M	$UI_UpLimSingle6M	$UI_UpLimSingle6M	$UI_UpLimSingle6M	
		comp7_cond	114		{sin05_s=1} & !{IsDisabled} & ({lunmy>=7} & {lunmy<=12})	{sin05_s=1} & !{IsDisabled} & ({lunmy>=7} & {lunmy<=12})	{sin05_s=1} & !{IsDisabled} & ({lunmy>=7} & {lunmy<=12})	{sin05_s=1} & !{IsDisabled} & ({lunmy>=7} & {lunmy<=12})	{sin05_s=1} & !{IsDisabled} & ({lunmy>=7} & {lunmy<=12})	{sin05_s=1} & !{IsDisabled} & ({lunmy>=7} & {lunmy<=12})	
		comp7_perElig	115		0	0	0	0	$UI_ReplRateSingle7to12M*yempv	$UI_ReplRateSingle7to12M*yempv	
		comp7_lowlim_amount	116		0	0	0	0	$UI_LowLimSingle7to12M	$UI_LowLimSingle7to12M	
		comp7_uplim_amount	117		0	0	0	0	$UI_UpLimSingle7to12M	$UI_UpLimSingle7to12M	
		comp8_cond	118		{sin05_s=1} & !{IsDisabled} & {lunmy>12}	{sin05_s=1} & !{IsDisabled} & {lunmy>12}	{sin05_s=1} & !{IsDisabled} & {lunmy>12}	{sin05_s=1} & !{IsDisabled} & {lunmy>12}	{sin05_s=1} & !{IsDisabled} & {lunmy>12}	{sin05_s=1} & !{IsDisabled} & {lunmy>12}	
		comp8_perElig	119		$UI_ReplRateSingle12M*yempv	$UI_ReplRateSingle12M*yempv	$UI_ReplRateSingle12M*yempv	$UI_ReplRateSingle12M*yempv	$UI_ReplRateSingle12M*yempv	$UI_ReplRateSingle12M*yempv	
		comp8_lowlim_amount	120		$UI_LowLimSingle12M	$UI_LowLimSingle12M	$UI_LowLimSingle12M	$UI_LowLimSingle12M	$UI_LowLimSingle12M	$UI_LowLimSingle12M	
		comp8_uplim_amount	121		$UI_UpLimSingle12M	$UI_UpLimSingle12M	$UI_UpLimSingle12M	$UI_UpLimSingle12M	$UI_UpLimSingle12M	$UI_UpLimSingle12M	
		comp9_cond	122		{sin05_s=0} & {IsWithPartner} & {IsDisabled}	{sin05_s=0} & {IsWithPartner} & {IsDisabled}	{sin05_s=0} & {IsWithPartner} & {IsDisabled}	{sin05_s=0} & {IsWithPartner} & {IsDisabled}	{sin05_s=0} & {IsWithPartner} & {IsDisabled}	{sin05_s=0} & {IsWithPartner} & {IsDisabled}	
